sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
1010,15,Yargıtay,CG,398,2023,531,2023-10-18,gebe+travma,gebe×2 | travma×18 | TCK 87/88,YARGITAY KARARI,"KARARI VEREN YARGITAY DAİRESİ : 9. Ceza Dairesi MAHKEMESİ :Ağır Ceza SAYISI: 14-100 I. HUKUKÎ SÜREÇ Sanık ...'ın çocuğun nitelikli cinsel istismarı suçundan 5237 sayılı Türk Ceza Kanunu'nun 103/1-a delaletiyle 103/2, 43/1 ve 53. maddeleri uyarınca 20 yıl hapis cezası ile cezalandırılmasına ve hak yo"
1011,15,Yargıtay,CG,346,2020,527,2020-12-17,gebe+travma,gebe×2 | travma×85 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ceza Dairesi Sayısı: 202-684 Tasarlayarak öldürme suçundan sanık ...'in beraatine ilişkin Isparta 1. Ağır Ceza Mahkemesince verilen 08.11.2016 tarihli ve 175-218 sayılı hükme yönelik, Cumhuriyet savcısı ve katılan ... (müteveffa) vekili tarafı"
1012,14.9,Yargıtay,21,1630,2018,3808,2018-04-16,gebe+illiyet,gebe×1 | travma×1 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - KAZA OLAYININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLMESİNİN MÜMKÜN BULUNMASI - HÜK,"(6331 S. K. m. 4, 10) (6098 S. K. m. 417) (4857 S. K. m. 2, 77) &nbsp; Dava: Asıl ve birleşen dava bakımından; Davacılar, murisinin ...... sonucu ölümünden doğan..................ın ödetilmesine karar verilmesini istemiştir. &nbsp; İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzer"
1013,14.9,Yargıtay,3,2308,2023,238,2024-01-17,gebe+illiyet,gebe×7 | travma×1 | illiyet×9,MADDİ VE MANEVİ TAZMİNAT DAVASI - BELİRTİLEN GEREKÇELERE VE ÖZELLİKLE DOSYA KAPSAMINDA DÜZENLENEN RAPORLARDA ORTAYA ÇIKAN SONUCUN BİR KOMPLİKASYON OLDUĞU DAVALI DOKTORA VE DAVALI HASTANEYE BİR KUSUR Y,"(818 S. K. m. 386) &nbsp; Taraflar arasındaki maddi ve manevi tazminat davasından dolayı yapılan yargılama sonunda İlk Derece Mahkemesince davanın reddine karar verilmiştir. &nbsp; Kararın davacı vekili tarafından istinaf edilmesi üzerine, Bölge Adliye Mahkemesince başvurunun esastan reddine karar v"
1014,14.9,Yargıtay,12,2222,2018,411,2020-01-13,gebe+illiyet,gebe×7 | travma×8 | illiyet×3 | trafik/iş kaz,TAKSİRLE ÖLDÜRME SUÇU - OLAYIN MEYDANA GELDİĞİ ANDA HENÜZ DOĞMAMIŞ OLAN BEBEĞİN ÖLÜMÜNDEN SANIĞIN SORUMLU OLMADIĞINA YÖNÜNDEKİ BOZMA İÇEREN GÖRÜŞE İŞTİRAK EDİLMEDİĞİ - HÜKMÜN ONANMASI,"(5237 S. K. m. 50, 52, 63, 85) &nbsp; Taksirle öldürme suçundan sanığın mahkumiyetine ilişkin hüküm, sanık müdafii tarafından temyiz edilmekle, dosya incelendi gereği düşünüldü; &nbsp; Olay tarihinde saat 10:42 civarında, ambulansta şoför olarak görevli olan sanık sürücü ...&#39;nun sadece görünür i"
1015,14.9,Yargıtay,16,11091,2019,5748,2020-11-05,gebe+illiyet,gebe×1 | travma×21 | illiyet×7,YARGITAY KARARI,"Mahkemesi :Ceza Dairesi İlk derece Mahkemesi: İstanbul 27. Ağır Ceza Mahkemesinin 01.06.2018 tarih ve 2017/50 – 2018/77 sayılı kararı Suç : Anayasal düzeni ortadan kaldırmaya teşebbüs etmek, Türkiye Büyük Millet Meclisini ortadan kaldırmaya teşebbüs etmek, TC. Hükumetini ortada kaldırmaya teşebbüs e"
1016,14.9,A.İ.H.M.,2,41844,2009,,2013-09-17,gebe+travma,gebe×1 | travma×10 | illiyet×7,AMİNE GÜZEL - TÜRKİYE DAVASI,"(AİHS. m. 3, 6, 14, 34, 35, 41, 44) (5237 S. K. m. 86, 220, 256, 314) (3713 S. K. m. 7) (FIRAT CAN - TÜRKİYE DAVASI) (TARKAN YAVAŞ V. - TÜRKİYE DAVASI) (ÇELİK VE İMRET - TÜRKİYE DAVASI) (BATI VE DİĞERLERİ - TÜRKİYE DAVASI) (AYSU - TÜRKİYE DAVASI) (ÇOŞELAV V. - TÜRKİYE DAVASI) (BEKER - TÜRKİYE DAVASI"
1017,14.8,Yargıtay,CG,14-1037,2012,50,2013-02-12,gebe+travma,gebe×2 | travma×3 | illiyet×15,NİTELİKLİ CİNSEL SALDIRI SUÇU - MAĞDURENİN YENİ BİR TRAVMAYA MARUZ KALMASINA VE UNUTMAYA ÇALIŞTIĞI OLAYLARI İÇ DÜNYASINDA YENİDEN YAŞAMASINA NEDEN OLUNMASI - CEZA MUHAKEMESİNİN MADDİ GERÇEĞE ULAŞMA AM,"(5237 S. K. m. 43, 53, 62, 102) (765 S. K. m. 418) Dava: Nitelikli cinsel saldırı suçundan sanık (T.A.)'ın 5237 sayılı TCK'nun 102/2, 102/3-c, 102/5, 43/1, 62/1 ve 53/1. maddeleri uyarınca yirmi yıl hapis cezası ile cezalandırılmasına ve hak yoksunluğuna ilişkin, (E.) 3. Ağır Ceza Mahkemesince veril"
1018,14.8,Yargıtay,12,2412,2023,3409,2024-06-26,gebe+illiyet,gebe×8 | travma×6 | illiyet×6,YARGITAY KARARI,"B O Z M A Ü Z E R İ N E MAHKEMESİ:Asliye Ceza Mahkemesi SAYISI: 2021/390 E., 2022/890 K. KATILANLAR : ..., ... SUÇ: Taksirle yaralama HÜKÜM: Beraat TEBLİĞNAME GÖRÜŞÜ: Onama Dairemizce verilen bozma ilâmı üzerine mahkemece sanık hakkında kurulan hükmün; katılanlar vekili tarafından temyizi üzerine ya"
1019,14.7,Danıştay,10,6864,2019,1884,2021-04-26,gebe+illiyet,gebe×5 | travma×1 | illiyet×3 | TCK 87/88,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2019/6864 KararNo : 2021/1884 TEMYİZ EDEN (DAVALI): … Bakanlığı VEKİLİ: Av. … KARŞI TARAF (DAVACILAR): 1- … 2- … VEKİLLERİ: Av. … İSTEMİN_KONUSU: … İdare Mahkemesinin … tarih ve E:…, K:… sayılı kararının temyizen incelenerek bozulması istenilmektedir. YARG"
1020,14.6,Anayasa,2,5186,2019,,2021-11-16,gebe+illiyet,gebe×15 | travma×6 | illiyet×5,ANAYASA MAHKEMESİNİN 16/11/2021 TARİHLİ VE 2019/5186 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(2709 S. K. m. 5, 17, 36) (6216 S. K. m. 50) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 03.04.2014 T. 2013/2839 E.) (ANY. MAH. 21.01.2016 T. 2013/2803 E.) (ANY. MAH. 16.07.2014 T. 2013/6319 E.) (ANY. MAH. 20.04.2016 T. 2013/4086 E.) (ANY. MAH. 22.07.2020 T. 2017/15834 E.) (ANY. MAH. 21.02.2018"
1021,14.6,Anayasa,1,15834,2017,,2020-07-22,gebe+illiyet,gebe×33 | travma×2 | illiyet×7,ANAYASA MAHKEMESİNİN 22/7/2020 TARİHLİ VE 2017/15834 SAYILI KARARI (BİREYSEL BAŞVURU),"BİRİNCİ BÖLÜM &nbsp; (2709 S. K. m. 5, 17) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 03.04.2014 T. 2013/2839 E.) (ANY. MAH. 21.01.2016 T. 2013/2803 E.) (ANY. MAH. 10.06.2015 T. 2013/8365 E.) (ANY. MAH. 16.07.2014 T. 2013/6319 E.) (ANY. MAH. 20.04.2016 T. "
1022,14.6,Danıştay,10,1680,2022,4813,2025-10-27,gebe+illiyet,gebe×74 | travma×2 | illiyet×7,DANIŞTAY KARARI,T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2022/1680 KararNo : 2025/4813 TEMYİZ EDEN (DAVACILAR): 1- Kendi adlarına asaleten ...'ya velayeten ... ve ... 2- ...'ya veraseten ... ve ... VEKİLİ: Av. ... TEMYİZ EDEN (DAVALI): ... Bakanlığı / ANKARA VEKİLİ: Av. ... TEMYİZ EDEN (DAVALI YANINDA MÜDAHİLLER
1023,14.5,A.İ.H.M.,A.İ.H.M.,64969,2010,,2014-12-16,gebe+travma,gebe×1 | travma×19 | TCK 87/88,MEHMET FİDAN - TÜRKİYE DAVASI,"(AİHS m. 3, 13, 34, 35, 41, 44) (BATI VE DİĞERLERİ - TÜRKİYE DAVASI) (ABDÜLSAMET YAMAN - TÜRKİYE DAVASI) (NECATİ YILMAZ V. - TÜRKİYE DAVASI) (NURGÜL DOĞAN - TÜRKİYE DAVASI) (SALMAN - TÜRKİYE DAVASI) &nbsp; İKİNCİ BÖLÜM &nbsp; (Başvuru No. 64969/10) &nbsp; KARAR &nbsp; STRAZBURG &nbsp; 16 Aralık 2014"
1024,14.5,Yargıtay,1,8747,2023,3000,2025-04-17,gebe+travma,gebe×1 | travma×15 | TCK 87/88,YARGITAY KARARI,"MAHKEMESİ:Ceza Dairesi SAYISI: 2023/1313 E., 2023/1419 K. SUÇ : Nitelikli kasten öldürme HÜKÜM : İstinaf başvurularının esastan reddi kararı TEBLİĞNAME GÖRÜŞÜ : Temyiz isteminin esastan reddi ile hükümlerin onanması İlk Derece Mahkemesince verilen hükümlere yönelik istinaf incelemesi üzerine Bölge A"
1025,14.5,Yargıtay,1,5486,2023,355,2025-01-14,gebe+travma,gebe×1 | travma×10 | TCK 87/88,YARGITAY KARARI,"İNCELENEN KARARIN MAHKEMESİ:Ceza Dairesi SAYISI: 2022/3155 E., 2023/415 K. İlk Derece Mahkemesince verilen hükümlere yönelik istinaf incelemesi üzerine Bölge Adliye Mahkemesi tarafından verilen kararın; 5271 sayılı Ceza Muhakemesi Kanunu’nun (5271 sayılı Kanun) 286/1. maddesi uyarınca temyiz edilebi"
1026,14.5,Yargıtay,CG,28,2020,426,2020-10-20,gebe+travma,gebe×1 | travma×36 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 14. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı : 339-13 Beden veya ruh sağlığını bozacak şekilde nitelikli cinsel saldırı suçundan sanık ...’nın TCK'nın 102/2, 102/5, 62 ve 53. maddeleri uyarınca 8 yıl 4 ay hapis cezası ile cezalandırılmasına ve hak yoksunluğuna ilişkin M"
1027,14.5,Anayasa,1,21898,2019,,2024-02-08,gebe+travma,gebe×1 | travma×12 | TCK 87/88,ANAYASA MAHKEMESİNİN 8/2/2024 TARİHLİ VE 2019/21898 SAYILI KARARI (BİREYSEL BAŞVURU),"(2709 S. K. m. 34) (2911 S. K. m. 10, 17, 23, 24) (5442 S. K. m. 32) (4483 S. K. m. 16) (ANY. MAH. 30.11.2017 T. 2014/20411 E.) (ANY. MAH. 15.11.2018 T. 2015/271 E.) (ANY. MAH. 06.01.2015 T. 2013/3924 E.) (ANY. MAH. 25.03.2015 T. 2013/2394 E.) (ANY. MAH. 04.07.2019 T. 2017/24902 E.) (ANY. MAH. 21.01"
1028,14.5,Anayasa,2,13964,2016,,2020-01-28,gebe+travma,gebe×1 | travma×12 | TCK 87/88,ANAYASA MAHKEMESİNİN 28/1/2020 TARİHLİ VE 2016/13964 SAYILI KARARI (BİREYSEL BAŞVURU),"(2709 S. K. m. 13, 17, 25, 26, 34)( 2559 S. K. m. 2, 16)(6216 S. K. m. 50) (Anayasa Mahkemesi İçtüzüğü m. 79)(ANY. MAH. 19.04.2018 T. 2014/5218 E.) (ANY. MAH. 06.01.2015 T. 2013/3924 E.) (ANY. MHA. 18.04.2018 T. 2014/18240 E.) (ANY. MAH. 30.11.2017 T. 2014/20411 E.) (ANY. MAH. 25.03.2015 T. 2013/239"
1029,14.5,Yargıtay,2,1196,2023,1249,2023-03-22,gebe+travma,gebe×3 | travma×5 | cenin/düşük,BOŞANMA DAVASI - TARAFLARIN SOSYAL VE EKONOMİK DURUMLARINA GÖRE DAVACI KADIN VE ÇOCUK LEHİNE HÜKMEDİLEN NAFAKA MİKTARLARININ YERİNDE OLDUĞU GEREKÇESİYLE TARAFLARIN İSTİNAF TALEPLERİNİN AYRI AYRI ESAST,"(4721 S. K. m. 4, 166, 174, 182, 327, 328, 330) (6100 S. K. m. 369, 370, 371) &nbsp; Taraflar arasında İlk Derece Mahkemesinde görülen ve istinaf incelemesinden geçen boşanma davasında verilen karar hakkında yapılan temyiz incelemesi sonucunda, Dairece Bölge Adliye Mahkemesi Dairesi kararının ortada"
1030,14.5,Yargıtay,CG,254,2019,632,2022-10-12,gebe+travma,gebe×1 | travma×43 | TCK 87/88,YARGITAY KARARI,"Yargıtay Dairesi: 1. Ceza Dairesi Sanık ...’ün nitelikli kasten öldürme suçundan TCK’nın 82/1-h maddesi uyarınca ağırlaştırılmış müebbet hapis cezası ile, nitelikli yağma suçundan ise aynı Kanun’nun 149/1-a-d maddesi uyarınca 12 yıl hapis cezası ile cezalandırılmasına, her iki suç yönünden aynı Kanu"
1031,14.5,Yargıtay,1,4828,2023,4508,2023-06-22,gebe+travma,gebe×1 | travma×4 | illiyet×3 | TCK 87/88,YARGITAY KARARI,"MAHKEMESİ:Ceza Dairesi SAYISI: 2022/545 E., 2022/498 K. SUÇ: Nitelikli kasten öldürme HÜKÜM: Mahkûmiyet TEBLİĞNAME GÖRÜŞÜ: Bozma Sanık hakkında bozma üzerine verilen kararın; 5271 sayılı Ceza Muhakemesi Kanunu’nun (5271 sayılı Kanun) 286 ncı maddesinin birinci fıkrası uyarınca temyiz edilebilir oldu"
1032,14.5,A.İ.H.M.,2,44188,2009,,2015-06-23,gebe+travma,gebe×1 | travma×32 | TCK 87/88,SALİN VE KARŞİN - TÜRKİYE DAVASI,"(AİHS m. 3, 13, 34, 35, 41, 44) (2709 S. K. m. 125) (2559 S. K. m. 13, 16, 25) (ÜLÜFER V. - TÜRKİYE DAVASI) (SALMAN - TÜRKİYE DAVASI) (SONKAYA - TÜRKİYE DAVASI) (MİMTAŞ - TÜRKİYE DAVASI) (KARAYİĞİT - TÜRKİYE DAVASI) (MECAİL ÖZEL - TÜRKİYE DAVASI) (SELMOUNI - FRANSA DAVASI) (LABITA - İTALYA DAVASI) ("
1033,14.5,A.İ.H.M.,A.İ.H.M.,51002,1999,,2005-01-11,gebe+travma,gebe×3 | travma×5 | cenin/düşük,ZANA VE DİĞERLERİ - TÜRKİYE DAVASI,(Başvuru no: 51002/99 ve 51489/99) DOSTANE ÇÖZÜM KARARININ ÖZET ÇEVİRİSİ STRASBOURG 11 Ocak 2005 Türkiye Cumhuriyeti Devleti aleyhine açılan ve (51002/99 ve 51489/99) başvuru no'lu davanın nedeni T.C. vatandaşı Leyla Zana'nın V.Turhan'ın ve H.Geylan'nin (başvuranlar) Avrupa İnsan Hakları Komisyonu'n
