"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"195","Yargıtay","Ceza Dairesi","2023/8919","2023/7460","2023-11-09","REJMR081eGRsRVF6T0Y5MWliZ2lVUjQ0VDliNGlSUEw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/REJMR081eGRsRVF6T0Y5MWliZ2lVUjQ0VDliNGlSUEw","travmada, gebe","kapsamında ağırlaştırıcı iki neden varken alt sınırdan ceza tayin edilmesinin ve katılan mağdurenin yaşadığı travmada ... organ sokmak suretiyle nitelikli cinsel saldırı eyleminde bulunduğu, eylem nedeniyle katılan mağdurenin gebe"
"196","Yargıtay","Ceza Dairesi","2022/15229","2023/6899","2023-11-09","VzB6cllLenRFUVBzVU00MlJJbkJRbVZhNW4vY2xLSXk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VzB6cllLenRFUVBzVU00MlJJbkJRbVZhNW4vY2xLSXk","gebe, gebeliğini, travmatik","Sanığın evli ve üç çocuk annesi olduğu, tanık ... ile yaşadığı gayri meşru ilişki içerisinde gebe kaldığı ... , gebeliğini eşinden, çocuklarından ve tanık...tan gizlediği, 29.07.2019 tarihinde evinin banyosunda ... , bebeğin doğduğu anda canlı olduğu, sanığın gayri meşru ilişki içerisinde dünyaya getirdiği bebeği gebe ... İhtisas Kurulunun, 22.06.2020 tarihli ve 2509 karar numaralı ihtisas kurulu mütalaasında; \""...Bebeğin travmatik"
"197","Yargıtay","Ceza Dairesi","2021/6581","2023/7395","2023-11-08","M1FRanhlcE5yK1JVNHFxQWpBZ1haVUlQRVpsYkpCZ2k","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/M1FRanhlcE5yK1JVNHFxQWpBZ1haVUlQRVpsYkpCZ2k","hamile, travma","söylemediği, bir kaç ay sonra mağdurenin rahatsızlanması üzerine annesi tarafından hastaneye götürüldüğünde hamile ... üzerindeki kıyafetleri ailesinin haberdar olmaması için aynı gün makineye atıp yıkadığı, hastanede hamile ... mağduru bulunduğu olaydan kaynaklanmış ruh sağlığını bozacak mahiyet ve derecede olan (Major Depresyon, Travma"
"198","Yargıtay","Ceza Dairesi","2023/8498","2023/7417","2023-11-08","c2sxckZTK3p5Wnh5T1NMUnAzRVZ5dGhiZ3N5cm5QOUk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c2sxckZTK3p5Wnh5T1NMUnAzRVZ5dGhiZ3N5cm5QOUk","boğazını, travma","katılanın odasına girip katılanı öpmeye çalıştığı, katılanın direnmesi üzerine katılanın yüzünü ve boğazını ... diye yalvarınca odadan dışarıya çıkıp pencerenin önüne gelip dışarıya bakarken sanığın saldırdığını, boğazını ... katılanın odasına girip katılanı öpmeye çalıştığı, katılanın direnmesi üzerine katılanın yüzünü ve boğazını ... mağduru bulunduğu olaydan kaynaklanmış ruh sağlığını bozacak mahiyet ve derecede olan (kaçınma ağırlıklı Travma"
"199","Yargıtay","Ceza Dairesi","2021/17879","2023/7380","2023-11-08","T0UyQ3hFZXBpSFEzbUdWK3oyN0lhMS8xaUZBQk1CR2Q","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/T0UyQ3hFZXBpSFEzbUdWK3oyN0lhMS8xaUZBQk1CR2Q","boğazını, travmatik","ı elinden tutup ormanlık alana götürerek boğazını tek eli ile sıkıp, seni boğarım öldürürüm diye tehdit ... ATK Zonguldak Adli Tıp Şube Müdürlüğünün 26/06/2012 tarihli raporunda özetle; mağdurede yeni oluşmuz travmatik ... saptanmadığını, hymenin çocuk hymeni görünümünde olduğunun ve sağlam olduğunun, herhangi bir eski ya da travmatik"
"200","Yargıtay","Ceza Genel Kurulu","2023/306","2023/590","2023-11-08","SXZWbFFBejE1TEtDL3pnV254QUJSYmZnaFJGQnc3dXY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SXZWbFFBejE1TEtDL3pnV254QUJSYmZnaFJGQnc3dXY","travma, boğazını","tarihli ruh ve beden sağlığı heyet raporuna göre; 04.04.2018 tarihli muayene sonucunda katılan mağdurda travma ... ın boğazını sıkıp kendisini yere yatırdığını, suça sürüklenen çocuk ...'"
"201","Yargıtay","Ceza Dairesi","2023/7427","2023/7325","2023-11-07","SHcrdVRDNzYrWW5DYkFjc1VzS2dMZThGNHVzRklKOVY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SHcrdVRDNzYrWW5DYkFjc1VzS2dMZThGNHVzRklKOVY","hamile, gebelik, hamilelik, gebe, gebeliği, gebeliğin, travmatik","birçok defa cinsel ilişkiye girdiği, mağdure adetleri düzensizleşmeye başlayınca doktora gittiği ve hamile ... mağdurenin internet üzerinden konuştuğu şahsın \""sanık ...'un yanına git ve kendisine ondan hamile ... ben onu kontrol altına alacağım, tepkisini azaltacağım\"" dediği, mağdurenin sanığın yanına gidip hamile ... Hastanesinden sanığın randevu aldığı, sanıkla mağdurenin beraber yola çıktıkları, yolda pratik gebelik ... testi aldıkları ve hamilelik testinin pozitif çıktığı, hastaneye gittik"
"202","Yargıtay","Ceza Dairesi","2023/2920","2023/13823","2023-10-26","QnFXdWxFYW41aENzNHA5VGRYeUc3dlkyeFBOd3ViOC8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QnFXdWxFYW41aENzNHA5VGRYeUc3dlkyeFBOd3ViOC8","travmasına, geberteceğim","vurmak suretiyle yaralanmasına neden olduğu, katılan hakkında düzenlenen kati hekim raporunda künt cisim travmasına ... yaralama suçlarını işlediği kanaatine varıldığı... her ne kadar sanık hakkında katılana yönelik ''seni geberteceğim ... bulunan sandalye ile kafama vurdu ve bana hitaben \""orospu çocuğu, sizde hiç ar namus yok mu, ben sizi geberteceğim ... Ayrıca sanığın tartışma sırasında müştekiye hitaben 'ben sizi geberteceğim' deyip demediğini bilmiyorum ... Ben tartışma sırasında sanığın, "
"203","Yargıtay","Hukuk Dairesi","2022/3914","2023/6113","2023-10-24","bmIyaWV2aHBieWN3UDdUeWlLTGIzbnMrNktHWTJVZVM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bmIyaWV2aHBieWN3UDdUeWlLTGIzbnMrNktHWTJVZVM","gebelik, hamileliği, hamilelikte, travmaya, gebeye","nın müşterek çocuğu olduğunu, müvekkilinin gebelik takibinin en az 5 farklı tarihte kadın doğum uzmanı ... nın, hamileliği boyunca davalının sigortalısı doktor tarafından takip edildiğini, anılan doktorun genel ... olarak tıbbi kötü uygulaması sonucu down sendromunu hamilelikte teşhis edilmediğini ve davacı ...' ... zorluklara katlanmak zorunda kalacakları gibi tüm davacıların, manevi yönden sürekliliği bulunan ağır bir travmaya ... amniyosentez bilgilendirilmesi yapılacağına veya her gebeye amn"
"204","Danıştay","Daire","2019/12238","2023/5859","2023-10-24","eUNjcTB0UGowN2lzNTVlckhCMHdGMW0zU2hIM25naE4","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eUNjcTB0UGowN2lzNTVlckhCMHdGMW0zU2hIM25naE4","travmatoloji, boğaz","Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi"
