"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"1","Anayasa","Bölüm","2022/42654","2026/","2026-03-03","WjJkMno2UmpEY3FyOHZUZktZR1JGSkRUdlFEeG1mUGc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WjJkMno2UmpEY3FyOHZUZktZR1JGSkRUdlFEeG1mUGc","boğazına, boğazını, travmatik","memurunun kolunu bırakmaması üzerine başvurucunun boştaki sol eli ile kendisine eşlik eden polis memurunun boğazına ... sarılarak boğazını sıktığı ve ""Şerefsizsiniz"" diyerek polis memuruna hakaret ettiği tutanakta ... raporuna ilişkin olarak alınan 11/11/2019 tarihli adli tıp raporunda 'kişinin vücudunda haricen travmatik ... memurunun kolunu bırakmaması üzerine başvurucunun boştaki sol eli ile kendisine eşlik eden polis memurunun boğazına ... sarılarak boğazını sıktığı ve ""Şerefsizsiniz"" diyere"
"2","Yargıtay","Hukuk Dairesi","2024/11965","2026/1658","2026-02-16","cDBBRlJkbjlUV2NHd3FQU3RKS01GSjBOQTBYL0lNY2M","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cDBBRlJkbjlUV2NHd3FQU3RKS01GSjBOQTBYL0lNY2M","boğaz, travmatoloji","yedi uzman tarafından düzenlenmesi gerekirken, sunulan raporun bir adli tıp uzmanı, bir kulak burun boğaz ... uzmanı ve bir ortopedi ve travmatoloji uzmanı tarafından hazırlandığı, ayrıca skar izi nedeniyle heyette ... ikametine en yakın Üniversite Hastanesinin Adli Tıp Anabilim Dalı bölümünden içerisinde Ortopedi ve Travmatoloji"
"3","Yargıtay","Hukuk Dairesi","2025/3387","2026/281","2026-01-21","VEEyelNISjV0Y3dCLzY5TjBMeFRCQ3pOSzZ3MUtRZ2Q","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VEEyelNISjV0Y3dCLzY5TjBMeFRCQ3pOSzZ3MUtRZ2Q","hamileliğinin, hamileler, hamile, travma, gebeliğinin, gebelik","nın hamileliğinin ilk günlerinden itibaren davalı hastanenin dava dışı kadın doğum doktoruna giderek ... doktorun ertesi sabah bebeğin down sendromlu olduğunu söylediğini, down sendromu testinin 35 yaş üstü hamileler ... için zorunlu olduğunu, müvekkili ... 37 yaşında hamile kaldığından down sendromu testi yapılması gerektiğini ... nın down sendromlu olduğunu öğrendikleri günden bu yana korkunç bir travma yaşadıklarını, ...' ... nın gebeliğinin 7. haftasında kalp atımının tespit edildiğini,12. h"
"4","Anayasa","Bölüm","2021/62686","2026/","2026-01-07","eWdhSkFhcXptRDVkQmR2MG12SmZZNUxKS1N5MFJVMXA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eWdhSkFhcXptRDVkQmR2MG12SmZZNUxKS1N5MFJVMXA","travmatoloji, boğaz","Ortopedi ve Travmatoloji Ana Bilim Dalı tarafından düzenlenen 21/12/2018 tarihli raporda ""cilt kesisi ... Kulak, Burun ve Boğaz Hastalıkları Ana Bilim Dalı Başkanlığınca düzenlenen 5/12/2018 tarihli raporda,"
"5","Bölge Adliye Mahkemesi","43. Hukuk Dairesi","2024/353","2025/1878","2025-12-11","cFdYVnlTUThHRjhqZ0FhMGZ2Y2dOQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cFdYVnlTUThHRjhqZ0FhMGZ2Y2dOQT09","hamileliği, hamilelikte, travma, gebelikte, gebelik, gebe","(baba)ın müşterek çocuğu olduğunu, müvekkili ... ...ın hamileliği boyunca davalının sigortalısı doktor ... tarafından takip edildiğini, anılan doktorun genel olarak tıbbi kötü uygulaması sonucu down sendromunun hamilelikte ... sürecin ağır ve meşakkatli bir süreç olduğu bu durumun çocuk yanı sıra anne ve baba içinde ciddi bir travma ... Gebelikte ise, hem anne sağlığı hem de çocuğun sağlığı söz konusudur. ... Gebelik süresi, on haftadan fazla ise rahim ancak gebelik, annenin hayatını tehdit etti"
"6","Bölge Adliye Mahkemesi","43. Hukuk Dairesi","2022/1571","2025/1879","2025-12-11","Tk5neFdjUGFmYlVxRDlPUXZlVzZBdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Tk5neFdjUGFmYlVxRDlPUXZlVzZBdz09","hamileliği, hamilelikte, travma, gebeliğe, gebelik, gebe","Katı nın hamileliği boyunca davalının sigortalısı doktor tarafından takip edildiğini, ne var ki anılan ... toktorun genel olarak tıbbi kötü uygulaması sonucu down sendomu hamilelikte teşhis edilemediğini, küçük ... edeceğini, davalının sigortalısı doktorun tibbi kötü uygulaması sonucu bebeğin down sendromlu olduğu hamilelikte ... sürecin ağır ve meşakkatli bir süreç olduğu bu durumun çocuk yanısıra anne ve baba içinde ciddi bir travma ... Gebeliğe ve bebeğe müdahale gerektiren (gebelik sıvısı ve"
"7","Yargıtay","Hukuk Dairesi","2024/10262","2025/16176","2025-12-03","bEc5eW1Yb0xPZkhpditlM3Y0NUFpNnRCbW1sSUU5WFg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bEc5eW1Yb0xPZkhpditlM3Y0NUFpNnRCbW1sSUU5WFg","travmatoloji, boğaz","mululiyet raporunun yönetmeliğe uygun düzenlenmediğini, sigorta şirketi tarafından aldırılan ortopedi ve travmatoloji ... Anabilim Dalı Başkanlığı'nın bir adli tıp uzmanı, bir beyin ve sinir cerrahisi uzmanı, bir ortopedi ve travmatoloji ... %15, çiğneme yutma zorluğuna bağlı olarak %10, toplam %24 olarak belirlendiği, ancak kulak burun boğaz ... Uyuşmazlık Hakem Heyeti tarafından içinde kulak burun boğaz uzmanı ve cildiye/ plastik cerrahisi uzmanı ... Hakkında Yönetmelik hükümlerine uygun olara"
"8","Yargıtay","Hukuk Dairesi","2024/10227","2025/16175","2025-12-03","MW5XMlp2elBxY0lsTCtzTjRHSW9MZWM5cU1OUHI3dWw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MW5XMlp2elBxY0lsTCtzTjRHSW9MZWM5cU1OUHI3dWw","boğaz, travmatoloji","hükümlerine göre sürekli iş göremezlik oranının %5 olarak belirlendiği, maluliyet raporunun kulak burun boğaz ... uzmanı, ortopedi ve travmatoloji uzmanı ve adli tıp uzmanından oluşan 3 kişilik hekim heyetince düzenlendiği"
"9","Yargıtay","Hukuk Dairesi","2025/10653","2025/16015","2025-12-01","c3l0QStDRDU1cGxYQ1V2VVRIbFFoSEN0b0xzeTVDczU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c3l0QStDRDU1cGxYQ1V2VVRIbFFoSEN0b0xzeTVDczU","boğaz, travmatoloji","raporu arasındaki çelişkiyi giderecek şekilde STK bilirkişi listesinden bir ortopedi, bir kulak burun boğaz ... çelişkiyi giderecek şekilde Sigorta Tahkim Komisyonu bilirkişi listesinden bir ortopedi, bir kulak burun boğaz ... ikametine en yakın Üniversite Hastanesinin Adli Tıp Anabilim Dalı bölümünden içerisinde ortopedi ve travmatoloji ... uzmanı, nöroloji uzmanı, kulak burun boğaz uzmanının da bulunduğu heyetten rapor alınıp, davacıda tespit"
"10","Yargıtay","Hukuk Dairesi","2025/14638","2025/16174","2025-11-27","bUNtSG5kcFNFMmpReVBEaHdUeS9qaVp3RFh6ZkRURS8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bUNtSG5kcFNFMmpReVBEaHdUeS9qaVp3RFh6ZkRURS8","travma, boğaz, travmatoloji","İdare Mahkemesine açılan davanın görev yönünden reddedildiğini, davacılar murisinin travma sonrası stres ... sonra, en son verilen ...Şehir Hastanesinin 16.04.2019 gün ve 1109 sayılı Sağlık Kurulu Raporu ile “travma ... işitme kaybı yönünden ise hiçbir araştırma ve inceleme yaptırılmadığını, ... hastanelerinin Kulak Burun Boğaz ... yaralanması olayı nedeniyle vücudunda meydana gelen tüm hastalık ve arızalar (Psikiyatri, Kulak Burun Boğaz ... , Ortopedi ve Travmatoloji, Kas ve İskelet Sistemi ve "
"11","Yargıtay","Ceza Dairesi","2021/6621","2025/8181","2025-11-25","MEpJNWhjY3hGZXVIeDFrRHpRT3dROFJ5MllMeXVGdDg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MEpJNWhjY3hGZXVIeDFrRHpRT3dROFJ5MllMeXVGdDg","boğazını, travmanın","tartışma sonucu sanığın, maktulün bulunduğu banyodan içeriye girip maktulü eliyle ittiği, maktulün boğazını ... maktulün dengesini kayıp edip yere düştüğü ve adli tıp raporuna göre maktulün ölümünün maruz kaldığı travmanın ... işinin kaldığını, sonra çıkacağını söylemesi üzerine, banyoya girip maktulü eliyle ittiği, maktulün boğazını ... tıbbi müdahale ile giderilebilecek ölçüde hafif nitelikte olduğunun, maktulün ölümünün maruz kaldığı travmanın"
"12","Yargıtay","Hukuk Dairesi","2024/9544","2025/15694","2025-11-25","ZDdBdThXTVR3aVRNbGF6dzBBVk15akwxUjI0SmRudFI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZDdBdThXTVR3aVRNbGF6dzBBVk15akwxUjI0SmRudFI","travmatoloji, boğaz","yaralanmanın niteliği gözetildiğinde raporu hazırlayan heyet teşekkülünün yetersiz olduğu, heyette ortopedi ve travmatoloji ... şekilde yerleşim yerine en yakın üniversite adli tıp anabilim dalı başkanlığından içinde ortopedi ve travmatoloji ... Yönetmelik hükümlerinin esas alındığı ve 2 adli tıp uzmanı, 1 nöroloji, 1 üroloji, 1 kulak burun ve boğaz"
"13","Yargıtay","Hukuk Dairesi","2024/8260","2025/15161","2025-11-06","ZmFpWmNNQ3hsM2h0YTFNbmVJV1JRVHdHN0daU3A1MEw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZmFpWmNNQ3hsM2h0YTFNbmVJV1JRVHdHN0daU3A1MEw","travmaları, boğaz","skar ve keloid niteliğinde olmadığı, bu nedenle skar dokusunun maluliyete neden olmadığı, yine yüz travmaları ... uygun şekilde davacının maluliyet tayinine neden olarak rahatsızlıkları da gözetilerek kulak burun boğaz"
"14","Yargıtay","Hukuk Dairesi","2024/6849","2025/15000","2025-11-03","aWpNSWlBUzhuNEMwb3Z3a2IyVG1aajBDbHd4bFlyYTc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aWpNSWlBUzhuNEMwb3Z3a2IyVG1aajBDbHd4bFlyYTc","travmatoloji, boğaz","Üniversitesi Tıp Fakültesi Adli Tıp Ana Bilim Dalı Başkanlığınca (2 ortopedi ve travmatoloji uzmanı, ... 1 adli tıp uzmanı, 1 kulak burun boğaz uzmanı) düzenlenen 08.05.2023 tarihli maluliyet raporunda burun ... Uyuşmazlık Hakem Heyetince, dosyada alınan maluliyet raporu yeterli görülmeyerek içerisinde kulak burun boğaz"
"15","Bölge Adliye Mahkemesi","35. Hukuk Dairesi","2024/1042","2025/1302","2025-10-23","bzBkR2k4SHB5RjlidEJCeXhrNS9sdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bzBkR2k4SHB5RjlidEJCeXhrNS9sdz09","boğaz, travması, travma, travmasına","cetveller esas alınmak kaydıyla bedensel engel oranı hesaplandığında; a) Burun deviasyonu için: Kulak-Burun-Boğaz ... fiziksel görünümü bozan burun eğriliği maddesine göre %2 olduğu, b) Kaza nedeniyle meydana gelen kafa travması ... Epilepsi — 7- Nöbeti olmayan ancak nöbet geçirme riski olan maddesine göre %5 olduğu, c) Sol gözde travma ... oranının %9(yüzde dokuz)olduğu, sekel halini aldığı ve sürekli olduğu,denilmiş olup, davacının kafa travmasına"
"16","Danıştay","Daire","2022/3801","2025/4763","2025-10-23","bDEzVm9rUHMrZXc4TzNhSlFlV09sUnB5Z0xWV0VlVks","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bDEzVm9rUHMrZXc4TzNhSlFlV09sUnB5Z0xWV0VlVks","gebe, gebeliği, gebeye, travmanın","Devlet Hastanesine adet tarihine göre 39 hafta 3 günlük suları gelen gebe olarak başvurduğu, 2. gebeliği ... tarafından takipde ÇKS(kalp atımları)|95-98 atım/dk olarak tespit edildiği, uzman hekime haber verildiği, gebeye ... Devlet Hastanesinde adet tarihine göre 39 hafta 3 günlük suları gelen gebe olarak başvurduğu,2. gebeliği ... tarafından takipde ÇKS(kalp atımları)|95-98 atım/dk olarak tespit edildiği,uzman hekime haber verildiği, gebeye ... girdiği sezaryen ile doğum sonrasında bebeğinin v"
"17","Yargıtay","Hukuk Dairesi","2024/7288","2025/14301","2025-10-16","TUZXaDBSSnU1VnNuaGh5Smx1OWw1Z3g5bnNoKzZ3RW0","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/TUZXaDBSSnU1VnNuaGh5Smx1OWw1Z3g5bnNoKzZ3RW0","boğaz, travmatoloji","Raporları Hakkında Yönetmelik hükümlerine göre %5 olarak hesaplandığı, raporun adli tıp uzmanı, kulak burun boğaz ... hastalıkları uzmanı ile ortopedi ve travmatoloji uzmanı tarafından hazırlandığı, Uyuşmazlık Hakem Heyeti"
"18","Yargıtay","Hukuk Dairesi","2025/906","2025/4746","2025-10-09","Snh5QWN4Y3N0QjNPdDFrbmZYZ2hkdXN1Z2VsQ1MvSmg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Snh5QWN4Y3N0QjNPdDFrbmZYZ2hkdXN1Z2VsQ1MvSmg","travmatik, boğazına","ortamında ve doktor takibinde iken kaybedilmesi tıp bilgisi olmayan ailesinin bakış açısı ile anlaşılmaz ve travmatik ... hastası olduğu sabahtan beri aralıklarla 10-15 dk sürüp geçen mide ağrısı olduğunu akşam yemek yerken boğazına"
"19","Yargıtay","Hukuk Dairesi","2024/6070","2025/13234","2025-09-29","TTk3UEFCZHNrRllMdU9KK0ZFcUVUVFVidHUxK25aT2M","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/TTk3UEFCZHNrRllMdU9KK0ZFcUVUVFVidHUxK25aT2M","boğaz, travmatoloji","az yedi daimi üyeden oluşur: a) İç hastalıkları uzmanı, b) Göz hastalıkları uzmanı, c) Kulak burun boğaz ... Bulunmaması durumunda varsa ortopedi ve travmatoloji uzmanı kurula katılır.(4) Hastanın teşhis ve tedavisinde"
"20","Bölge Adliye Mahkemesi","35. Hukuk Dairesi","2024/865","2025/1099","2025-09-25","dklUQWllM09STlcyMGx1NFIyQlFwQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dklUQWllM09STlcyMGx1NFIyQlFwQT09","travma, boğaz","geçirdiğini, kalçasına çok sayıda çivi ve vida takıldığını, yaralanmaları sebebiyle ağır psikolojik travma ... bölümü Tablo3.3e göre kişinin engel oranı; % 5, sol kulak heliksindeki şekil bozukluğu için Kulak Burun Boğaz"
"21","Bölge Adliye Mahkemesi","13. Hukuk Dairesi","2022/2008","2025/1424","2025-09-18","RkFpQUZyN0FnbUlRMHZ6OHA2ZkNudz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RkFpQUZyN0FnbUlRMHZ6OHA2ZkNudz09","gebelik, gebelikte, gebeliğinin, hamileliğin, travma","A.Ş tarafından düzenlendiğini, sigortalı doktorun gebelik takibinde davacı anneyi down sendromunu tespit ... takibinin hukuka aykırı olduğunu, Yargıtayın, gebelikte saptanmayan özürlere ilişkin davaların nasıl ... çözümlenmesi gerektiğini hükme bağladığını, yapılması gerekenlerin, gebelikte tam sonuç vermeyen ve ... Davacı annenin sigortalı doktor tarafından gebelik muayenesi 25/06/2017 tarihinde davacı annenin gebeliğinin ... Hukuk Dairesinin E. 2012/7843 K. 2013/5023 T. 4.3.2013 sayılı kararın"
"22","Anayasa","Bölüm","2021/42882","2025/","2025-09-17","K3JUUGFnNUVjSGo0cDdGSGVkVHlPZjdBNUp5akI2cWg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/K3JUUGFnNUVjSGo0cDdGSGVkVHlPZjdBNUp5akI2cWg","boğazına, travmatik","Personel ayrıca A.C.nin elinde tülbent benzeri bir yazma tuttuğunu ve eşinin boğazına bu yazmanın kaçtığını ... Adli Tıp İhtisas Kurulu, ölüm nedeni hakkında hazırladığı raporda kişinin travmatik tesirle veya zehirlenerek"
"23","Yargıtay","Ceza Genel Kurulu","2024/322","2025/300","2025-07-02","dXYvSGMyWDZiZlN0bzU4eE1DN3dKQ3hqVXpmbkVMMWE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dXYvSGMyWDZiZlN0bzU4eE1DN3dKQ3hqVXpmbkVMMWE","boğazda, boğazını, gebelik, hamile, gebeliğini, travmaya, travma","duhul şekilde acile getirilen bebeğin tüm müdahalelere rağmen kalp atımı ve solunumun sağlanamadığı, boğazda ... sanığın, banyo yaparken bebeğin geldiğini, bebeği öldürmek istediğini, neden yaptığını bilmediğini, boğazını ... , sanığa yeniden gebelik durumunu sorduğunu, sanığın ağrıdan cevap veremediğini, son kez sorduğunda hamile ... hamile olduğunu sekiz aylık iken öğrendiğini, karnı da çok büyümediğinden son gebeliğini fark edemediğini ... gebelik ve doğum açısından kayda değer bir risk tablo"
"24","Yargıtay","Hukuk Dairesi","2025/192","2025/3719","2025-07-01","UjNwS1hEU2VMbDVxc0I3bkRSbm5VRHNIS29YY2ROTzY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/UjNwS1hEU2VMbDVxc0I3bkRSbm5VRHNIS29YY2ROTzY","travmatik, boğaz","ödemin tamamen korunaksız olan görme sinirini sıkıştırarak zarar verdiğini, konulan teşhisin \""travmatik ... halde İlk Derece Mahkemesince, tam teşekküllü Üniversite Hastanelerinde görevli, içerisinde kulak burun boğaz"
"25","Anayasa","Bölüm","2021/13900","2025/","2025-06-24","UzNlRUJsYkt4OVFzblBoS3J4ZWQvUTMvRWU4UVhKbGg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/UzNlRUJsYkt4OVFzblBoS3J4ZWQvUTMvRWU4UVhKbGg","boğazının, travma","gelen bir kıdemli başçavuş ve yine orada bulunan bir kişi tarafından yan odaya alınarak tokatlandığını, boğazının ... tarafından ibraz edilen 6/8/2013 tarihli raporunda; alınan öykü ve yapılan ruhsal durum muayenesi bulguları travma ... psikometrik testlerde beck depresyon ölçeği (39 puan), beck anksiyete envanteri (33 puan), MMPI ve travma ... Hastanesince verilen psikiyatrik muayene raporları ve hasta gözlem ve epikriz formlarına göre başvurucuda travma"
"26","Yargıtay","Ceza Genel Kurulu","2023/169","2025/254","2025-06-11","RWdDcHFRaEpSWGZGaUh2dnJTNkNrUm42ckFmSSswVXk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RWdDcHFRaEpSWGZGaUh2dnJTNkNrUm42ckFmSSswVXk","travma, boğazına","olanları düşünmesinin derse odaklanmasını azalttığı\"" tespitlerine yer verildiği ve katılan mağdureye travma ... \"" diyerek cinsel organının üzerine oturmasını istediğini, badisini boğazına kadar yukarı kaldırdığını"
"27","Yargıtay","Hukuk Dairesi","2022/8709","2025/9117","2025-06-03","bUxRMGJKVWdyendxQ0RsaTVOWUVwWXVQTzJsZ2lKSS8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bUxRMGJKVWdyendxQ0RsaTVOWUVwWXVQTzJsZ2lKSS8","hamile, travma","dilekçesinde; davacının davalı tarafından 2014 yılında defalarca tecavüze uğradığını, bu tecavüzler esnasında hamile ... edildiğini, Adli Tıp Kurumu Kütahya şubesinin 24.07.2014 tarihli raporunda mağdur davacının geçirdiği travma"
"28","Danıştay","Daire","2022/4532","2025/3006","2025-06-03","VWJLS1drSUZSeW9lTzV1SlBWdnB0UUVzWnJKSE9IazI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VWJLS1drSUZSeW9lTzV1SlBWdnB0UUVzWnJKSE9IazI","travmatoloji, boğaz","Hastanesinin Ortopedi ve Travmatoloji bölümünden (dorsalji teşhisli) ... tarihinden itibaren 10 gün süreli ... Hastanesinin Kulak, Burun, Boğaz Hastalıkları bölümünden (burun ve nazal sinüslerin diğer tanımlanmış"
"29","Anayasa","Bölüm","2021/53214","2025/","2025-05-27","TG1JT0lDTmtoajRWeDlBcndXWS9aWUMxMTFMYTJKSkM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/TG1JT0lDTmtoajRWeDlBcndXWS9aWUMxMTFMYTJKSkM","gebelik, travması, gebe, hamileliğin","tarihinde düzenlenen bir üyenin muhalif kaldığı raporda; annenin daha önce normal doğum yapmış olduğu, gebelik ... Başvurucular; anılan rapora itirazlarında, annenin gebelik sürecinde beşinci aydan itibaren düzenli bir ... ve doğuma ait tıbbi belgelerin temin edilememesi nedeniyle doğum öncesi yapılan kontroller ve doğum travması ... bulunmamasına karşın özel hastane tarafından Göztepe SSK Hastanesine yazılan yazıda düzenli takibi olup gebe ... Annenin gebelik süresince kan şekerlerinin normal o"
"30","Yargıtay","Hukuk Dairesi","2024/4040","2025/3058","2025-05-27","RC9YZ095bndkTmlFeWJuTU5zWGVjMXNzSHhzZ1Q0L2w","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RC9YZ095bndkTmlFeWJuTU5zWGVjMXNzSHhzZ1Q0L2w","hamilelik, travması","in hamilelik sürecinde de aynı hastaneye muayeneye gittiğini, son aylarında yapılan muayenesinde her ... ihtimalinin devredışı bırakılmasına, pediatri açısından önemli olanın doğum sürecinde bebeğin doğum travması"
"31","Danıştay","Daire","2023/4355","2025/2700","2025-05-26","WlloT0p0bEdpR051SWZsRG1uU3RlZUFSOGlkZ0JrN2w","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WlloT0p0bEdpR051SWZsRG1uU3RlZUFSOGlkZ0JrN2w","travmatik, gebe, gebelerde","fonksiyonlarını etkileyen bir hastalığı, sakatlığı olanlar ile doğuştan (konjenital) veya sonradan (cerrahi-travmatik ... fonksiyonlarını etkileyen bir hastalığı, sakatlığı olanlar ile doğuştan (konjenital) veya sonradan (cerrahi-travmatik ... aneminin, 15 yaşın üzerindeki yetişkin erkeklerde Hgb değerinin 13 gr/dl altında, 15 yaşın üstünde ve gebe ... olmayan kadınlarda 12 g/dl nin altında, gebelerde ise 11gr/dl’nin altında olması şeklinde tanımlandığı"
"32","Yargıtay","Hukuk Dairesi","2024/1955","2025/8460","2025-05-26","alZYYkM2NzRaWFdtM3A3dmQ3bnd5bDVXcUhGTUhTaDA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/alZYYkM2NzRaWFdtM3A3dmQ3bnd5bDVXcUhGTUhTaDA","travma, boğaz","cetvelinin \""Kas İskelet Sistemi\"" başlığında Yaralanma Modeli veya Tanı İlişkili Değerlendirme bölümünde \""Travma ... bir değerlendirme de yapılmadığı ayrıca maluliyet raporunu düzenleyen kurulun içerisinde kulak burun boğaz ... İçin Engellilik Değerlendirmesi Hakkında Yönetmelik hükümlerine uygun olarak içerisinde kulak burun boğaz"
"33","Yargıtay","Hukuk Dairesi","2024/5321","2025/3471","2025-05-20","UXJSYy82cUsxSzVWajF1c1Z3bHplNVpSVk5hVTNuYzE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/UXJSYy82cUsxSzVWajF1c1Z3bHplNVpSVk5hVTNuYzE","gebelik, gebelikte, gebeliğin, gebeliğe, hamilelik, travma","ın annesi olduğunu, gebelik takibinin dava dışı doktor tarafından yapıldığını, Tıbbi Kötü Uygulamaya ... İlişkin Zorunlu Mali Sorumluluk Sigorta poliçesinin davalı ... tarafından düzenlendiğini, doktorun gebelik ... nin down sendromlu olarak doğmasına sebebiyet verdiğini, down sendromunun gebelikte tespitinin mümkün ... olduğunu, tespiti halinde gebeliğin sonlandırılmasına izin veren bir özür olduğunu, hastayı aydınlatmayan ... kusur atfedilemeyeceğini, anne babanın çocuğun down sendromlu olarak"
"34","Yargıtay","Hukuk Dairesi","2025/1259","2025/7457","2025-05-08","bWVPdmF1cjU2ZGhqQTNPNkRtNElQS2dHeWJ4YURMM3I","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bWVPdmF1cjU2ZGhqQTNPNkRtNElQS2dHeWJ4YURMM3I","travmatik, boğaz","düzenlenen 03.09.2021 tarihli raporda, davacının trafik kazası sonucu yaralanması nedeniyle oluşan epilepsi, travmatik ... göremezlik durumunun tespitine ilişkin heyette bulunması gerekli görülen nöroloji uzmanı, kulak burun boğaz ... Değerlendirmesi Hakkında Yönetmelik hükümlerine uygun olarak ve içerisinde nöroloji uzmanı, kulak burun boğaz"
"35","Danıştay","Daire","2022/445","2025/2475","2025-05-08","akEzUmtKNm02YlJpUzhEcE9wc2tKdzB6Y3FlQ0dQQi8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/akEzUmtKNm02YlJpUzhEcE9wc2tKdzB6Y3FlQ0dQQi8","gebe, gebeliği, gebelikte, gebelik, travmatik, travması","Hastanesine miadında suları gelen ağrılı gebe olarak başvurduğu, ilk gebeliği olduğu, saat 12.51’de erken ... membran rüptürü (gebelikte erken su gelişi) tanısı ile yatırıldığı, vajinal muayenede, kollum açıklığı ... : 1cm, silinme: %10, ÇKS:142 olduğu, su kesesi (-) olduğu tespitinin yapıldığı, gebelik USG tetkiki yapıldığı ... multifaktöryel ve çok sebepli bir bozukluk olup (doğumsal, genetik, enflamatuar, enfeksiyöz, anoksik, travmatik ... oluşabildiği, bebeklerin %75-80 gibi büyük bir bölümü"
"36","Danıştay","Daire","2025/550","2025/2265","2025-05-07","dWxqTTZPbEJkQUl6S1dFZ3NMcFRQTUt5U0dtNnZ4TWE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dWxqTTZPbEJkQUl6S1dFZ3NMcFRQTUt5U0dtNnZ4TWE","boğaz, travmatik","sayılı Resmi Gazete'de yayınlanan Yönetmelik ile değişik- Ek-3-6 maddesinde; A Dilimi Kulak burun boğaz ... fonksiyonlarını etkileyen bir hastalığı, sakatlığı olanlar ile doğuştan (konjenital) veya sonradan (cerrahi-travmatik ... maddesinin ikinci fıkrasının (a) bendi gereği aday mevcut sağlık durumu ile değerlendirilir. (1) Kulak burun boğaz"
"37","Yargıtay","Hukuk Dairesi","2024/677","2025/7176","2025-05-06","eS9mR1EwU24valFvVVNsTUNVdWVjVVdvOGorcFZ3U3E","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eS9mR1EwU24valFvVVNsTUNVdWVjVVdvOGorcFZ3U3E","boğaz, travmatoloji","deformitesinin mevcut olduğu, tam kapanmadan ön dişlerini temas ettiremediği, yönetmelikte bu arazın kulak burun boğaz ... edilebileceğinin düzenlendiği, başvuran tarafından sunulan raporun, 2 adli tıp uzmanı, 1 ortopedi ve travmatoloji ... uzmanı, 1 beyin ve sinir cerrahisi uzmanı, 1 kulak burun boğaz hastalıkları uzmanı ve 1 deri ve zührevi"
